Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
151,TF家族太湖音乐节官宣,2024-09-12 19:33:00,23396000,21000,16.968075625545055
152,SpaceX首次商业太空行走,2024-09-12 19:50:00,9564000,2139,16.073516607560354
153,朱芊曦3比0伊藤美诚,2024-09-12 19:55:00,13260000,674,16.40026254272199
154,宋亚轩美式男高造型,2024-09-12 20:09:00,12206000,29000,16.317438192086577
155,孙颖莎朱芊曦争4强,2024-09-12 20:32:00,5901000,502,15.590632386039308
156,伊藤美诚无缘战莎莎,2024-09-12 20:32:00,15090000,617,16.52954283074403
157,王楚钦3比0战胜徐瑛彬,2024-09-12 20:33:00,24072000,6980,16.99655989729202
158,天津机场称未收到无人机飞行报备,2024-09-12 20:42:00,29151000,3031,17.187999775489686
159,王楚钦说打得很放松,2024-09-12 20:55:00,4120000,921,15.231363721325708
160,女子月子里通宵带娃还被家暴,2024-09-12 20:56:00,19997000,3186,16.81109282026714
161,T1对战DK,2024-09-12 20:58:00,220000000,29000,19.20913810431664
162,不爱出远门的年轻人在家门口微度假,2024-09-12 21:17:00,12439000,6179,16.336347256192102
163,王俊凯中秋节回重庆路演,2024-09-12 21:23:00,7542000,8444,15.83599795680044
164,胡歌刘涛琅琊榜售后,2024-09-12 21:30:00,36449000,4092,17.41142458120035
165,DK战胜T1,2024-09-12 21:35:00,39235000,7555,17.48507976354371
166,第一视角体验火箭垂直起降,2024-09-12 21:39:00,15713000,5627,16.56999895317227
167,LNG回应Scout无法参加S14,2024-09-12 21:46:00,39644000,7172,17.495450170508736
168,库里在成都吃火锅打麻将,2024-09-12 22:03:00,15567000,525,16.560663847017988
169,天津机场旅客称黑飞无人机多次出现,2024-09-12 22:08:00,37150000,3082,17.430474329128042
170,国际金价又涨到新高了,2024-09-12 22:48:00,14022000,2776,16.45613808274905
171,医保卡丢了3千元被刷光对方不认账,2024-09-13 05:30:00,28475000,2516,17.16453706729752
172,人民军队淬火向前,2024-09-13 06:54:00,16918000,11000,16.643888701846098
173,军人遭长矛戳嘴瞬间击毙暴徒,2024-09-13 07:00:00,46602000,5258,17.65715401662984
174,张家诚拍的蒋奇明,2024-09-13 07:18:00,18238000,652,16.719017887475747
175,海口交警向救灾解放军敬礼致敬,2024-09-13 07:26:00,5402000,1960,15.502279813334695
176,黄金再创新高至2550美元每盎司,2024-09-13 07:28:00,3349000,178,15.02417235177634
177,首次公开福建舰内部画面,2024-09-13 07:42:00,13518000,4361,16.419532688642438
178,碎花裙女生发声,2024-09-13 07:43:00,24641000,2158,17.019922280221653
